localidad,a_huelga,a_la_educacion,a_la_honra/_al_honor,a_la_identidad_cultural,a_la_informacion,a_la_integracion_de_discapacidad,a_la_integridad_fisica_y_psiquica,a_la_nacionalidad,a_la_participacion,a_la_salud,a_la_seguridad/vida_sin_violencia,a_la_seguridad_social,a_la_vida,a_la_vivienda_digna,a_sindicalizarse_y_a_la_negociacion_colectiva,a_sufragio/votar,acceso_a_informacion_publica,acceso_a_la_cultura,al_salario_equitativo,al_trabajo,amistad_civica,autonomia/libertad,bien_comun/comunidad,cambio_o_reforma_constitucional,ciudadania,congreso_o_parlamento_(estructura_y_funciones),contraloria_general/tribunales_de_cuentas,cumplimiento_de_las_leyes_y_normas,cumplimiento_de_obligaciones_fiscales,cumplimiento_de_tratados_y_obligaciones_internacionales,de_los_pueblos_indigenas,de_peticion_ante_las_autoridades,de_propiedad,de_proteccion_y_conservacion_de_patrimonio_historico_y_cultural,de_satisfacer_cargas_publicas,deberes_de_proteccion_de_conservacion_de_la_naturaleza,defensor_del_pueblo/ciudadano,democracia,derecho_de_asociacion,"derechos_del_nino,_nina_y_adolescente",desarrollo,descentralizacion,dignidad,diversidad,division_territorial,ejercicio_legitimo_y_no_abusivo_de_los_derechos,emprendimiento_libre,equidad_de_genero,estado_de_derecho,estado_de_excepcion,estado_laico,forma_de_estado:_federalismo/autonomias_regionales,fuerzas_armadas,gobierno_local/municipal,gobierno_nacional(estructura_y_funciones),gobierno_provincial,gobierno_regional,identidad_cultural,igualdad,igualdad_ante_la_ley,igualdad_ante_las_cargas_publicas,igualdad_ante_los_tributos,igualdad_de_acceso_a_la_justicia/debido_proceso,igualdad_de_genero,inclusion,innovacion/creatividad,integracion,jefatura_de_gobierno,juicio_politico_/acusacion_constitucional,justicia,justicia_constitucional,justicia_electoral,libertad_ambulatoria,libertad_de_conciencia,libertad_de_ensenanza,libertad_de_expresion,libertad_de_trabajo,libertad_personal,libre_iniciativa_economica_/_libre_empresa,ministerio_publico/_defensoria_publica,multiculturalidad,no_discriminacion,participacion,patriotismo,paz/convivencia_pacifica,"plebiscitos,_referendos_y_consultas",pluralismo,plurinacionalismo,poder_judicial_(estructura_y_funciones),presidencia_de_la_republica,privacidad_e_intimidad,probidad,proteccion_judicial_de_los_derechos,"proteccion,_promocion_y_respeto_de_los_derechos_humanos_y_fundamentales",republica,respeto,respeto/conservacion_de_la_naturaleza_o_medio_ambiente,respeto_a_la_naturaleza/medio_ambiente,respeto_de_derechos_de_otros,respeto_por_la_constitucion,responsabilidad,reunion_pacifica,regimen_de_gobierno_presidencial/semi-presidencial/parlamentario,seguridad,ser_elegido_en_cargos_publicos,servicio_a_la_comunidad,soberania,solidaridad,subsidiaridad,tolerancia,transparencia_y_publicidad,unidad
Biobio/Bio Bio/Negrete,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
Biobio/Bio Bio/Quilaco,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
Biobio/Bio Bio/San Rosendo,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Biobio/Bio Bio/Santa Barbara,1,2,0,0,0,1,2,0,0,2,1,1,1,1,0,2,0,0,1,0,1,0,1,1,0,1,1,2,0,1,0,0,0,3,0,3,1,3,0,0,0,2,1,1,0,2,1,0,0,0,0,0,2,3,0,0,3,2,3,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,3,0,1,2,1,2,1,1,0,1,0,0,2,0,0,1,1,0,0
Biobio/Bio Bio/Tucapel,0,2,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,2,0,0,0,0,1,0,3,1,3,0,1,1,0,0,1,0,3,2,3,0,0,0,2,0,0,0,3,0,0,0,0,0,1,3,2,0,1,3,1,4,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,1,2,2,0,0,0,0,1,2,0,1,3,0,1,3,3,1,1,0,4,0,2,0,4,2,4,4,0,0,1,0,3,0,1,0,2,1,0
Biobio/Bio Bio/Yumbel,0,4,0,0,0,1,0,0,3,6,4,1,4,3,0,2,1,0,0,3,1,1,3,1,0,4,4,4,1,1,1,0,0,5,0,5,2,6,0,1,0,5,3,0,3,3,2,0,0,0,0,1,4,4,0,1,5,1,3,5,0,0,0,1,0,0,1,2,0,5,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4,0,0,3,3,0,2,1,5,0,4,5,0,5,4,6,0,3,2,1,5,1,2,0,0,0,0
Biobio/Concepcion/Chiguayante,2,13,0,0,5,2,1,0,2,14,6,4,2,6,3,1,0,2,7,2,0,0,5,9,2,8,5,14,4,3,2,0,2,9,0,14,11,9,0,2,1,8,2,2,1,7,0,7,5,0,3,5,8,12,1,0,8,1,10,6,0,1,1,3,3,0,3,1,4,12,1,3,1,0,1,7,0,0,0,1,1,4,4,0,1,15,0,1,4,3,0,4,2,15,0,7,8,4,12,10,10,0,6,4,0,9,0,3,0,4,1,1
Biobio/Concepcion/Concepcion,13,87,1,6,18,6,8,1,21,85,13,33,39,31,17,11,9,5,16,19,2,26,47,40,3,60,25,57,22,26,13,1,5,73,5,87,60,61,3,15,4,65,28,10,12,69,1,27,21,5,39,43,42,27,9,5,36,8,86,49,1,3,8,19,14,1,6,0,24,58,11,9,0,14,7,25,3,11,1,15,17,22,22,1,5,95,6,17,44,22,3,14,11,101,0,32,59,29,80,71,33,0,34,19,4,38,2,28,1,7,21,2
Biobio/Concepcion/Coronel,0,7,0,0,1,1,0,0,1,12,4,2,7,6,3,1,0,0,6,3,1,1,3,4,0,6,4,9,2,6,0,1,0,6,1,10,5,6,0,1,0,8,3,0,1,6,0,5,2,1,2,3,6,5,3,2,7,2,12,6,0,0,0,3,1,1,0,0,4,8,2,3,0,1,0,5,0,0,0,5,2,3,4,0,1,7,0,0,4,5,0,3,1,11,0,6,8,3,5,11,10,0,4,2,1,4,0,2,0,1,1,0
Biobio/Concepcion/Florida,0,2,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,1,0,2,0,0,1,0,2,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0
Biobio/Concepcion/Hualpen,0,9,0,1,1,1,0,0,1,9,5,3,3,7,2,1,0,1,2,3,1,1,4,4,1,6,4,8,3,2,4,0,0,8,0,8,6,7,0,0,1,6,4,0,0,5,0,0,2,0,0,4,3,5,1,1,6,2,9,2,0,0,1,2,4,2,0,0,4,8,1,0,0,1,0,3,0,0,0,0,2,1,2,1,0,8,0,2,4,2,0,1,0,9,0,3,7,2,5,7,2,0,4,1,0,3,0,4,0,1,2,0
Biobio/Concepcion/Hualqui,1,2,0,0,0,0,0,0,1,3,0,2,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,2,0,1,0,0,1,2,0,3,2,1,0,0,1,2,0,0,0,3,0,1,0,0,0,0,1,1,0,1,2,0,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,1,0,0,1,0,2,0,0,3,2,0,1,1,0,0,1,0,1,1,1,0,0,1,0
Biobio/Concepcion/Lota,0,5,0,0,0,1,0,0,0,5,1,1,4,1,1,2,0,0,4,2,1,2,1,1,0,4,3,3,0,4,1,0,0,5,0,4,5,5,0,1,1,2,1,0,0,4,0,0,0,0,1,1,3,2,0,0,4,1,7,1,0,0,0,0,2,0,1,0,0,6,1,3,0,0,0,4,0,0,0,0,2,0,2,0,0,4,0,0,1,3,0,1,2,5,0,2,3,2,6,4,1,0,3,1,0,1,0,0,0,2,0,2
Biobio/Concepcion/Penco,1,3,0,0,0,0,0,0,0,3,0,2,0,3,1,0,0,1,1,2,0,1,1,1,0,2,0,2,1,1,1,0,1,0,1,3,2,2,0,0,0,2,2,1,0,2,0,1,1,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,1,0,2,3,1,0,2,0,0,1,1,1,0,1,0,0
Biobio/Concepcion/San Pedro de La Paz,1,17,0,2,2,2,0,0,3,16,4,9,10,6,2,3,1,1,1,5,0,6,6,4,0,9,6,14,7,3,0,0,1,10,1,16,7,9,1,7,2,11,3,2,2,7,0,8,5,3,6,7,2,6,0,1,10,1,10,7,0,0,1,3,4,0,0,0,4,8,4,0,0,2,0,3,0,1,1,3,5,0,2,0,2,13,1,3,8,6,0,3,2,15,2,5,14,6,13,11,10,0,7,0,0,3,1,2,0,0,3,0
Biobio/Concepcion/Santa Juana,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Biobio/Concepcion/Talcahuano,0,18,0,4,2,1,0,0,5,17,4,9,6,8,6,1,1,2,8,4,2,5,7,7,0,13,4,12,7,6,5,0,1,14,1,17,8,16,0,1,1,15,6,0,1,12,0,8,6,1,6,7,9,10,2,0,11,2,13,8,0,0,1,3,0,0,1,0,5,12,1,3,0,2,1,5,0,1,0,0,5,2,4,0,1,19,0,1,6,6,0,5,1,20,0,5,17,10,10,16,8,0,14,3,2,8,2,4,0,1,2,0
Biobio/Concepcion/Tome,1,4,0,0,1,0,0,0,1,5,0,0,5,1,0,2,1,1,0,2,2,0,3,0,0,2,3,4,0,2,2,1,0,5,1,6,1,4,0,1,1,3,3,0,2,2,0,1,2,1,2,1,4,2,0,0,5,1,7,3,0,0,0,1,0,0,0,0,2,6,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,4,0,0,5,1,0,1,0,7,0,3,4,0,5,4,0,0,4,1,0,6,1,1,0,2,1,0
Biobio/Nuble/Bulnes,0,7,0,0,2,1,1,0,1,8,0,3,3,0,0,2,1,0,3,3,0,1,2,1,0,4,3,5,0,2,0,0,0,7,1,7,3,4,0,2,0,5,0,0,1,4,0,2,2,1,0,2,4,3,2,1,3,0,5,2,0,1,3,0,1,0,1,0,2,6,0,0,0,0,0,5,1,1,0,1,5,1,1,0,0,6,0,1,5,1,1,3,0,7,0,4,4,3,2,6,4,0,2,0,0,4,0,0,2,2,3,0
Biobio/Nuble/Chillan,7,58,0,5,11,7,7,2,12,71,19,25,38,32,14,14,0,8,25,21,1,16,26,32,5,44,27,52,14,19,9,2,6,68,6,83,39,59,3,4,6,45,26,8,13,58,4,22,21,6,25,30,38,36,4,10,32,13,65,37,1,1,12,11,13,4,6,2,18,49,11,4,2,9,8,26,8,5,2,13,10,14,15,0,8,75,0,3,44,31,4,20,5,74,1,35,52,29,50,65,42,2,38,11,1,42,5,17,5,18,13,1
Biobio/Nuble/Chillan Viejo,0,5,1,3,0,0,1,1,1,6,1,1,2,2,1,2,1,0,2,2,3,1,4,3,0,5,1,6,1,1,2,0,1,4,1,7,3,4,1,0,0,4,3,0,0,4,1,1,0,0,0,3,2,5,0,0,2,2,7,3,0,0,1,2,1,0,0,1,3,4,2,0,0,1,0,4,1,0,0,0,2,0,2,0,0,7,0,1,2,5,0,1,0,8,0,4,4,2,4,5,0,0,1,1,0,3,2,1,1,2,1,0
Biobio/Nuble/Cobquecura,1,2,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,2,1,0,2,1,0,1,1,0,0,0,0,0,0,1,0
Biobio/Nuble/Coelemu,0,1,0,0,0,0,1,0,0,4,1,0,1,1,1,0,0,0,1,1,0,0,0,2,1,2,1,2,0,0,1,1,0,3,0,3,0,0,0,0,0,3,1,0,1,1,1,0,0,1,0,1,4,2,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,2,0,2,0,0,3,0,2,1,1,0,1,0,0,2,0,0,0,1,1,0
Biobio/Nuble/Coihueco,0,12,0,1,1,1,1,0,0,11,3,1,7,6,1,5,2,0,5,6,0,3,3,3,0,4,2,8,3,7,4,0,0,7,0,11,6,9,0,0,0,10,1,3,2,0,0,3,2,0,0,1,10,10,2,0,12,3,6,3,0,1,2,0,2,0,1,0,0,5,0,0,0,0,0,3,1,0,0,1,1,4,1,0,0,10,0,0,5,5,0,5,0,8,0,6,4,1,12,9,6,0,0,8,0,2,0,0,0,4,4,2
Biobio/Nuble/El Carmen,0,5,0,0,1,0,1,0,0,7,2,1,3,2,1,1,0,0,2,2,0,2,2,1,0,0,2,6,0,1,1,0,0,5,0,6,3,2,0,0,1,3,2,1,1,4,1,1,0,2,0,2,3,1,1,1,1,1,5,5,0,1,0,2,2,0,0,0,2,6,4,2,0,1,1,3,0,0,0,3,0,2,0,0,1,4,0,0,4,3,0,0,0,5,0,3,6,2,6,4,5,0,0,2,0,0,0,1,0,0,3,0
Biobio/Nuble/Ninhue,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Biobio/Nuble/Pemuco,0,2,0,1,0,1,0,0,1,1,0,2,0,2,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,3,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,3,2,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,2,0,2,0,1,1,1,1,0,0,1,0,0,0,2,0,1,0,0
Biobio/Nuble/Pinto,0,3,0,0,0,0,0,0,0,3,0,1,1,3,1,1,1,0,0,2,0,0,0,0,0,1,2,1,1,2,1,0,0,1,0,2,0,1,0,0,0,2,0,0,0,2,0,2,0,1,1,0,2,2,0,1,3,0,4,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,2,0,1,0,2,1,0,1,3,1,0,0,1,0,1,0,0,0,1,1,1
Biobio/Nuble/Portezuelo,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0
Biobio/Nuble/Quillon,0,2,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,2,0,0,0,1,1,0
Biobio/Nuble/Quirihue,0,4,0,0,0,1,0,0,0,3,0,0,2,3,0,1,0,0,2,2,0,0,0,0,0,1,0,3,0,0,0,0,0,4,1,1,0,1,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,2,0,3,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,2
Biobio/Nuble/Ranquil,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Biobio/Nuble/San Carlos,0,14,0,1,4,0,2,0,3,15,5,2,12,10,3,2,2,0,6,5,2,1,4,6,0,7,3,8,5,5,2,0,0,8,1,14,4,7,1,1,1,7,6,1,1,8,0,3,2,0,4,2,7,7,0,2,4,3,11,3,0,0,1,1,3,1,1,0,2,13,1,0,0,1,1,4,0,0,0,6,1,2,2,0,5,9,0,1,8,3,0,5,0,14,1,7,7,6,10,11,6,0,5,3,0,10,2,2,0,1,2,0
Biobio/Nuble/San Fabian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Biobio/Nuble/San Ignacio,0,1,1,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,2,0,0,1,0,0,0,1,1,2,0,1,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,1,1,2,1,2,1,0,0,2,0,0,0,1,0,1,1,0
Biobio/Nuble/San Nicolas,0,5,0,1,0,1,0,0,1,6,1,1,3,3,1,3,0,0,2,3,0,2,1,1,0,4,2,7,1,1,1,0,0,2,0,6,3,3,0,1,0,4,0,1,3,4,0,3,0,1,0,3,3,4,0,3,0,2,6,4,0,0,1,2,2,0,0,0,3,5,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,3,0,0,3,5,1,1,0,6,0,6,3,3,6,6,4,0,3,5,1,3,0,2,0,0,2,0
Biobio/Nuble/Treguaco,0,3,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,3,2,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,3,0,2,2,0,1,2,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,1,1,2,0,1,1,1,1,1,4,0,1,1,0,1,0,0,1,0,0,0
Biobio/Nuble/Yungay,0,2,0,0,0,0,0,0,2,4,1,1,3,1,0,1,0,1,1,2,0,0,1,0,0,2,1,2,1,0,1,0,0,3,0,4,2,2,0,0,0,2,1,0,2,2,0,2,1,1,1,1,1,2,1,0,2,0,4,2,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,1,2,0,1,0,4,0,2,3,2,3,3,2,0,1,0,0,0,0,0,0,1,1,0
Biobio/Nuble/Niquen,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
Coquimbo/Choapa/Canela,1,12,0,0,0,1,0,0,2,17,5,3,8,11,0,2,2,2,6,2,1,2,2,9,0,5,4,12,1,2,0,0,1,10,0,11,9,10,0,2,2,6,7,1,0,8,1,3,3,1,0,3,4,15,3,2,6,2,11,10,0,0,0,1,3,0,0,0,2,13,1,3,0,1,0,0,0,1,1,4,2,3,0,0,1,14,0,1,3,4,0,1,1,14,0,13,14,5,11,13,9,0,1,5,1,8,0,2,0,1,4,1
Coquimbo/Choapa/Illapel,2,11,0,2,0,3,1,0,1,10,4,3,8,6,0,2,1,2,8,3,1,0,3,4,0,3,5,7,2,0,1,0,1,6,0,14,7,5,0,2,1,11,4,1,3,10,0,5,1,0,0,6,4,7,3,4,5,2,5,4,0,0,1,0,2,1,1,0,6,10,3,1,0,0,0,4,0,3,0,1,1,3,5,0,1,11,0,0,4,3,0,5,0,9,1,5,10,2,7,9,8,0,4,6,0,8,0,2,0,1,6,0
Coquimbo/Choapa/Los Vilos,0,10,0,0,1,1,1,2,2,11,6,2,5,6,3,4,1,0,4,2,1,6,4,3,1,6,9,11,5,4,3,0,1,7,1,13,9,10,0,0,3,9,3,1,1,6,1,6,1,0,2,5,4,10,1,0,5,1,7,3,0,1,3,1,3,1,0,2,1,8,1,0,0,2,0,6,0,0,1,1,1,6,3,0,1,10,0,1,6,6,0,2,2,11,0,6,9,1,9,4,2,0,3,2,1,7,1,1,0,2,1,0
Coquimbo/Choapa/Salamanca,1,10,0,0,0,2,0,0,2,11,3,3,2,2,3,1,0,1,4,1,1,3,3,7,0,4,3,6,2,4,1,0,1,9,0,9,6,5,0,1,1,9,4,3,2,7,0,4,1,2,1,5,4,3,1,2,4,1,7,2,0,1,2,0,2,0,0,0,2,9,2,3,0,0,0,3,1,0,0,0,2,2,1,0,0,6,0,0,4,6,0,2,0,9,0,4,8,3,7,7,6,0,3,3,0,5,3,1,0,0,0,0
Coquimbo/Elqui/Andacollo,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,2,1,2,0,2,1,0,0,3,1,3,0,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,2,2,2,3,1,3,1,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,3,3,0,0,0,2,0,2,3,2,3,4,0,0,1,1,1,1,0,0,0,0,0,0
Coquimbo/Elqui/Coquimbo,1,51,0,1,8,11,4,1,13,53,16,18,26,30,14,15,2,7,31,8,4,13,18,24,0,36,18,44,17,18,9,0,2,47,5,56,32,31,1,10,7,41,15,6,7,37,2,20,11,5,12,13,27,23,2,10,38,4,41,32,0,0,1,9,15,3,2,5,18,46,4,8,0,5,4,14,2,6,1,12,6,11,11,2,4,45,1,6,28,28,1,19,1,54,1,29,40,15,42,43,36,1,20,21,3,27,6,8,1,7,7,2
Coquimbo/Elqui/La Higuera,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,2,1,1,0,2,1,0,0,1,0,2,0,0,0,0,1,0
Coquimbo/Elqui/La Serena,1,79,1,1,8,10,8,1,14,83,18,27,24,34,20,8,3,5,36,19,2,20,35,44,1,55,28,48,17,20,15,2,6,67,7,88,53,57,2,13,6,62,25,9,4,51,1,35,16,2,13,29,30,43,10,10,61,14,75,41,0,3,4,15,22,3,6,2,19,65,9,12,0,6,3,22,2,7,1,12,11,13,15,2,3,76,1,8,34,39,1,19,9,89,0,28,59,34,58,72,34,0,26,16,4,35,7,21,1,14,8,2
Coquimbo/Elqui/Paihuano,0,3,0,1,1,0,1,0,0,1,2,0,2,2,0,0,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,3,0,3,2,2,0,0,1,3,0,0,0,2,0,2,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,1,2,1,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,1,3,0,0,1,1,0,0,0,3,0,2,2,1,2,1,1,0,0,0,0,2,0,1,0,0,0,0
Coquimbo/Elqui/Vicuna,1,4,0,0,0,1,1,0,1,5,4,1,2,4,1,2,0,0,5,0,0,2,1,3,1,3,1,7,1,2,1,0,0,8,0,5,4,4,0,1,0,3,1,2,2,3,0,2,4,1,1,1,3,4,1,2,5,1,7,4,0,0,0,0,3,0,0,1,1,8,1,2,0,1,0,2,1,1,0,0,0,2,0,0,0,2,0,0,2,2,0,1,0,7,0,4,4,3,4,5,2,0,1,4,0,2,1,0,0,1,2,0
Coquimbo/Limari/Combarbala,0,5,0,0,0,1,0,0,0,6,0,4,3,3,1,1,0,0,3,0,0,0,1,1,0,3,3,4,1,2,1,0,0,5,0,6,1,5,0,2,1,5,2,1,1,5,0,0,0,1,2,3,2,7,0,1,6,0,4,1,0,0,0,0,3,0,1,0,1,3,1,1,0,0,0,3,1,0,0,1,0,2,2,0,0,5,0,0,2,5,0,1,0,7,0,4,3,5,5,6,3,0,0,2,0,2,2,1,0,1,0,0
Coquimbo/Limari/Monte Patria,0,14,0,0,1,3,1,0,3,13,4,2,10,8,2,2,0,1,9,1,1,6,3,10,0,7,4,9,3,1,2,0,2,11,1,15,7,7,0,2,2,13,1,3,4,10,3,4,1,0,1,5,5,15,2,4,9,5,9,9,0,0,1,3,5,0,1,0,4,11,2,4,0,0,1,6,1,1,1,1,3,2,3,0,1,9,0,1,6,5,1,1,0,13,0,8,12,5,8,14,14,0,5,7,0,10,1,5,2,1,2,2
Coquimbo/Limari/Ovalle,2,21,0,2,4,7,3,0,3,29,12,6,17,23,5,10,2,1,11,6,4,6,11,13,0,22,9,23,3,6,4,0,3,22,3,32,17,22,0,6,4,15,16,3,7,22,1,11,5,4,1,2,15,15,8,6,19,4,28,15,0,0,3,4,3,1,1,0,7,29,7,3,0,0,1,7,3,2,1,4,2,9,4,1,5,26,0,1,21,13,1,4,5,29,1,23,19,11,25,28,24,0,9,15,1,17,2,3,2,4,4,0
